n, time
2 0.00000711260 15308.96554258036
2 0.00000367923 16723.99279753377
2 0.00000443173 17289.28254664216
2 0.00000376810 16724.61746618700
2 0.00000405877 17000.97188889298

2 0.00000300417 17400.94800364724
2 0.00000405590 16931.31248712515
2 0.00000389633 17331.37296248047
2 0.00000504623 16713.52023505895
2 0.00000592567 16075.62832932961

4 0.00011138853 17288.03713931392
4 0.00010624193 17946.38338499898
4 0.00010648197 17926.84413445611
4 0.00010653283 17674.62604173510
4 0.00010965662 17597.23277648845

4 0.00010408928 17386.92485863706
4 0.00011100590 17367.58877949559
4 0.00010863582 17705.21002362760
4 0.00010925920 17747.27875059158
4 0.00010698765 17953.73502022638

8 0.00096224463 6742.57722315835
8 0.00032397294 17513.52080292488
8 0.00034264279 16803.52907717679
8 0.00032459713 17462.50581719725
8 0.00032228243 17663.93307489037

8 0.00032410081 17362.34697261437
8 0.00033038828 17276.47836265056
8 0.00032607036 17468.33209744884
8 0.00037558187 15552.50467255562
8 0.00036615304 15834.41843084080

16 0.12827500852 116.85370266257
16 0.11998816106 125.33675924375
16 0.12780293920 118.20344132091
16 0.11592502261 129.40638932940
16 0.12515074269 120.57241131323

16 0.11580871759 129.98874396594
16 0.11084505894 134.91759532626
16 0.13039027174 115.04810085117
16 0.12648068370 119.10081959958
16 0.11860365338 126.67931563856

32 0.44500401930 69.06884478891
32 0.45179472645 68.73682140249
32 0.43251334788 71.23762515463
32 0.46655967427 66.64151683388
32 0.42888085260 72.39513352926

32 0.41109986741 75.16175214230
32 0.44852539681 69.45059395693
32 0.44479978416 69.91211189800
32 0.45063430704 68.50285326172
32 0.44092829665 70.35621712721

64 1.31898798328 47.42647355239
64 1.31119950237 47.62175223694
64 1.36553800382 45.76867819221
64 1.32926745127 46.99933182127
64 1.33263988711 47.04400139434

64 1.27604279592 48.83248906095
64 1.28490611786 48.20786132109
64 1.33222379675 46.99283688124
64 1.29159706890 48.46794382072
64 1.31783488848 47.20190109441

