n, time
5 0.11694017030 127.41911846083
5 0.10182590585 144.59996204504
5 0.09610290075 150.81177425451
5 0.07963980246 186.62954188273
5 0.11710163308 128.12121599494

5 0.10580564261 141.15728972054
5 0.09716156450 153.12621357908
5 0.08110962985 184.02561846398
5 0.10551195267 139.15607701242
5 0.10841731805 137.63719852296

10 0.13054406087 114.49528916181
10 0.10258294493 146.14450148471
10 0.12790081859 117.07656178293
10 0.12341126314 121.69317331211
10 0.11788097651 127.13962257691

10 0.11088924139 135.28777310809
10 0.12945318531 115.36533123754
10 0.11253059474 131.83343207740
10 0.11708241834 127.07421917654
10 0.11301635228 132.19537013956

15 0.13760115367 109.01387205973
15 0.11911010921 125.95705628625
15 0.13212925229 114.30822712775
15 0.13172361111 114.37416930756
15 0.12030894290 124.81636600179

15 0.11592799913 128.85487913969
15 0.11913850723 126.37209416117
15 0.13189153832 113.52554319400
15 0.11962120711 125.09571640102
15 0.12352614252 122.36356645121

20 0.14347973642 105.20864856714
20 0.12258911061 123.12925073533
20 0.12254396811 122.55488879113
20 0.12326656967 122.40404689292
20 0.13703709849 109.65650658560

20 0.11996178963 125.36180833102
20 0.12931096861 117.08300533292
20 0.12765053955 118.23959320123
20 0.11748290708 127.48451915147
20 0.12073701476 124.46924224413

25 0.12312075836 122.82467105841
25 0.14060261659 107.03597090763
25 0.13540651945 111.15137390554
25 0.12656855723 119.47132691753
25 0.13040259883 115.91541396649

25 0.12812398081 117.42328220091
25 0.13254021478 114.45915915497
25 0.12831644054 117.56931974167
25 0.12694515178 118.51432606107
25 0.12794780330 118.25256251396

