iter	RMSE
219	17417.90298
220	17396.98134
221	17382.70551
222	17367.27008
223	17337.17417
224	17297.92392
225	17276.39913
226	17248.06543
227	17218.78649
228	17203.13476
229	17181.48162
230	17152.36906
231	17114.48272
232	17102.22655
233	17063.44399
234	17036.2076
235	17016.3172
236	16996.859
237	16982.12654
238	16945.64408
239	16925.35219
240	16898.90885
241	16861.5441
242	16834.66621
243	16813.19107
244	16781.00075
245	16757.34006
246	16740.12954
247	16707.06824
248	16665.1077
249	16646.89801
250	16635.42437
251	16616.00464
252	16585.39461
253	16580.30437
254	16548.95914
255	16510.12915
256	16474.29796
257	16453.37533
258	16426.7702
259	16367.99526
260	16348.52316
261	16331.53283
262	16306.35591
263	16288.12285
264	16268.54229
265	16251.71456
266	16214.79335
267	16199.18388
268	16170.0145
269	16141.32988
270	16122.28353
271	16092.55351
272	16072.25789
273	16048.17851
274	16013.97449
275	15991.93919
276	15970.10851
277	15956.56955
278	15924.05339
279	15894.00614
280	15853.99119
281	15827.1894
282	15795.68027
283	15771.03023
284	15731.57997
285	15703.89627
286	15679.0249
287	15656.95626
288	15625.9574
289	15602.95982
290	15578.9992
291	15558.81354
292	15527.38818
293	15511.55154
294	15483.6819
295	15457.75161
296	15435.3338
297	15421.46396
298	15402.16192
299	15374.41338
300	15349.5496
301	15329.59116
302	15305.09307
303	15292.54327
304	15272.55812
305	15250.15036
306	15233.30613
307	15196.94474
308	15160.38818
309	15136.52671
310	15111.79965
311	15070.59247
312	15036.55619
313	15010.69366
314	14991.21302
315	14972.16975
316	14961.80699
317	14931.88946
318	14901.4979
319	14880.93209
320	14856.23503
321	14826.35837
322	14806.14975
323	14772.21334
324	14749.53307
325	14726.27385
326	14712.60626
327	14683.01161
328	14652.50723
329	14633.0889
330	14598.69635
331	14587.48233
332	14567.06846
333	14547.78614
334	14535.79363
335	14524.79683
336	14511.41822
337	14497.37636
338	14470.87658
339	14449.08647
340	14409.67907
341	14394.87094
342	14378.41311
343	14368.96711
344	14356.28511
345	14329.38956
346	14320.3789
347	14304.2023
348	14294.8055
349	14278.80162
350	14264.05015
351	14245.01245
352	14238.3069
353	14213.54974
354	14188.16554
355	14164.10603
356	14144.57553
357	14127.3776
358	14100.08086
359	14076.34243
360	14046.39467
361	14025.91831
362	14004.17104
363	13988.65458
364	13971.42724
365	13956.82657
366	13947.81711
367	13914.39599
368	13890.79629
369	13871.86137
370	13858.47378
371	13839.88562
372	13818.99339
373	13794.64198
374	13775.77705
375	13753.02859
376	13733.5669
377	13719.13246
378	13705.22053
379	13682.25119
380	13653.20309
381	13641.26272
382	13611.44543
383	13597.24295
384	13565.89967
385	13545.91764
386	13530.24069
387	13504.17655
388	13479.63443
389	13462.0017
390	13444.9637
391	13436.12368
392	13418.09062
393	13401.28468
394	13384.45316
395	13376.59839
396	13363.76247
397	13340.41684
398	13321.55357
399	13289.51749
400	13257.76105
401	13228.58869
402	13208.9141
403	13186.8707
404	13181.39198
405	13170.20436
406	13152.96999
407	13149.59881
408	13130.23062
409	13109.80907
410	13103.25149
411	13087.23733
412	13069.61951
413	13050.96414
414	13020.2607
415	12993.12294
416	12982.78019
417	12957.54732
418	12940.04547
419	12917.02614
420	12910.67938
421	12890.22284
422	12882.75497
423	12867.47356
424	12841.04795
425	12833.43184
426	12824.25123
427	12806.12359
428	12789.3306
429	12766.60832
430	12753.2274
431	12746.90045
432	12732.51073
433	12713.47863
434	12702.37067
435	12673.70082
436	12660.43845
437	12631.06677
438	12619.02366
439	12594.66328
440	12572.36425
441	12564.14402
442	12537.30747
443	12523.93045
444	12509.04669
445	12499.49033
446	12487.79595
447	12479.36494
448	12471.52684
449	12462.16078
450	12440.87303
451	12419.07152
452	12394.94582
453	12376.79886
454	12372.68458
455	12355.44621
456	12336.16449
457	12311.78505
458	12300.68668
459	12282.12361
460	12276.54374
461	12273.86961
462	12260.12668
463	12239.07549
464	12214.66031
465	12202.97631
466	12200.33487
467	12190.37972
468	12175.84256
469	12157.85212
470	12147.2685
471	12142.83325
472	12131.18882
473	12107.32142
474	12102.88107
475	12090.55849
476	12076.26502
477	12073.90797
478	12072.32003
479	12063.94072
480	12053.1733
481	12031.701
482	12020.34554
483	11996.77722
484	11972.84445
485	11960.27227
486	11945.37309
487	11922.09986
488	11907.93485
489	11890.2307
490	11874.67069
491	11859.23471
492	11843.00497
493	11825.85812
494	11808.5956
495	11798.20718
496	11780.34077
497	11753.78254
498	11750.89985
499	11746.82473
500	11731.85904
501	11729.74806
502	11727.8819
503	11715.49742
504	11703.20941
505	11694.1911
506	11675.31334
507	11665.92977
508	11648.49176
509	11632.36561
510	11611.46293
511	11597.28931
512	11587.83782
513	11579.49032
514	11560.96679
515	11541.83963
516	11529.98424
517	11525.389
518	11519.98224
519	11506.15625
520	11484.04514
521	11476.82388
522	11459.80909
523	11444.82138
524	11433.73996
525	11421.31816
526	11398.55799
527	11388.55265
528	11387.20685
529	11373.91753
530	11363.03517
531	11352.33142
532	11344.21946
533	11339.67507
534	11324.52212
535	11314.40073
536	11312.71234
537	11299.28489
538	11285.55093
539	11266.9428
540	11257.04421
541	11236.85591
542	11222.37847
543	11207.73494
544	11204.1892
545	11196.28049
546	11185.36548
547	11165.45522
548	11159.78275
549	11144.69124
550	11131.23994
551	11113.96517
552	11098.66082
553	11071.49013
554	11061.10722
555	11047.82216
556	11043.45039
557	11028.1942
558	11016.77119
559	10999.83933
560	10989.9835
561	10970.9934
562	10961.92059
563	10958.64143
564	10956.3655
565	10941.96175
566	10929.07831
567	10913.59802
568	10898.92664
569	10892.36831
570	10888.26334
571	10882.17166
572	10870.37987
573	10856.24781
574	10847.68973
575	10845.78881
576	10837.30973
577	10826.45491
578	10815.87964
579	10810.66222
580	10788.52366
581	10763.97165
582	10743.32971
583	10735.42533
584	10719.69297
585	10711.41624
586	10696.62799
587	10682.89665
588	10681.25551
589	10669.65353
590	10656.99967
591	10645.59517
592	10631.71991
593	10622.45103
594	10609.1893
595	10597.33895
596	10574.00057
597	10563.44324
598	10548.75754
599	10532.61417
600	10527.36835
601	10517.90232
602	10504.84344
603	10504.43436
604	10494.25966
605	10481.87821
606	10478.29994
607	10469.90335
608	10459.40029
609	10458.46076
610	10452.72902
611	10450.14463
612	10449.06431
613	10442.06928
614	10429.43205
615	10412.50737
616	10401.12789
617	10381.47724
618	10367.54434
619	10362.05615
620	10358.47916
621	10345.21097
622	10332.89468
623	10318.34708
624	10314.2811
625	10300.50534
626	10286.88593
627	10275.99944
628	10268.07622
629	10267.19948
630	10252.19952
631	10241.82453
632	10238.75541
633	10228.6085
634	10212.94991
635	10212.5828
636	10193.38221
637	10181.24245
638	10171.74832
639	10165.96692
640	10159.79075
641	10152.11772
642	10148.92482
643	10135.79001
644	10122.49295
645	10121.56485
646	10105.561
647	10094.34107
648	10093.79618
649	10082.10982
650	10077.77403
651	10065.67154
652	10065.13357
653	10058.83586
654	10047.51143
655	10029.02124
656	10019.32129
657	10006.52716
658	9993.586406
659	9988.754446
660	9972.08836
661	9961.989833
662	9954.148125
663	9947.947717
664	9932.750288
665	9920.157518
666	9914.6454
667	9906.272344
668	9897.529413
669	9890.668894
670	9879.701775
671	9871.692164
672	9856.058613
673	9844.940553
674	9838.823456
675	9827.108896
676	9821.977302
677	9811.926445
678	9799.73441
679	9789.041558
680	9775.369757
681	9759.98985
682	9752.736419
683	9746.412667
684	9738.228755
685	9729.319129
686	9723.927863
687	9712.158658
688	9705.949354
689	9691.664673
690	9678.64927
691	9662.738585
692	9652.029902
693	9643.403973
694	9640.966628
695	9632.38846
696	9620.044513
697	9611.694103
698	9600.011496
699	9588.733382
700	9577.886942
701	9565.962442
702	9552.769599
703	9551.603058
704	9538.306165
705	9538.002237
706	9525.829788
707	9525.534124
708	9524.653255
709	9514.034033
710	9504.371801
711	9488.662695
712	9488.18126
713	9474.279658
714	9465.402921
715	9458.485928
716	9455.528738
717	9449.385563
718	9448.125308
719	9429.86253
720	9413.137135
721	9400.221972
722	9394.10866
723	9380.129465
724	9374.209946
725	9365.144612
726	9356.81747
727	9352.333408
728	9338.432768
729	9331.188719
730	9321.02533
731	9313.208671
732	9304.098009
733	9302.640368
734	9291.872962
735	9284.418913
736	9276.126612
737	9264.424739
738	9256.747882
739	9244.876372
740	9235.000676
741	9234.09135
742	9216.850669
743	9208.476065
744	9192.295472
745	9191.848199
746	9180.81714
747	9176.29139
748	9170.517311
749	9163.993451
750	9150.704049
751	9137.386058
752	9136.847304
753	9123.834841
754	9115.148149
755	9108.221671
756	9099.585857
757	9085.975984
758	9085.48006
759	9080.983451
760	9067.960763
761	9055.698737
762	9045.893482
763	9034.581779
764	9033.094928
765	9028.405492
766	9022.95151
767	9010.990864
768	8996.45956
769	8988.938884
770	8972.633936
771	8965.974635
772	8964.069351
773	8958.203551
774	8957.444622
775	8946.537062
776	8942.334523
777	8932.822341
778	8922.759848
779	8910.363139
780	8892.830861
781	8883.369406
782	8883.007951
783	8873.017442
784	8871.363633
785	8866.235449
786	8857.018014
787	8849.20751
788	8844.557307
789	8839.071054
790	8831.113162
791	8814.758653
792	8804.698382
793	8790.161748
794	8781.192408
795	8776.428298
796	8764.427729
797	8759.259266
798	8746.924716
799	8742.811038
800	8737.138714
801	8723.686754
802	8714.892089
803	8701.184212
804	8692.263461
805	8691.800826
806	8688.203606
807	8686.874638
808	8677.916488
809	8673.310258
810	8670.523215
811	8660.587316
812	8657.362182
813	8645.690075
814	8637.397828
815	8626.523474
816	8615.291104
817	8609.876092
818	8599.815761
819	8588.330717
820	8573.878253
821	8564.293558
822	8563.844866
823	8552.718461
824	8543.192034
825	8530.064477
826	8529.703883
827	8520.878665
828	8513.822096
829	8503.006567
830	8496.899892
831	8496.570162
832	8487.377351
833	8477.345855
834	8466.871999
835	8456.037822
836	8448.216736
837	8447.731572
838	8438.657758
839	8431.232253
840	8426.942581
841	8419.616523
842	8411.197635
843	8403.285843
844	8397.26716
845	8389.800336
846	8380.9752
847	8376.655713
848	8373.088419
849	8365.279962
850	8361.351947
851	8352.796321
852	8349.781714
853	8344.315526
854	8335.582536
855	8324.630225
856	8315.549225
857	8311.218304
858	8303.596269
859	8292.561531
860	8281.455215
861	8277.200735
862	8271.835893
863	8262.758623
864	8256.800467
865	8248.116936
866	8243.060256
867	8231.981209
868	8223.812839
869	8221.06819
870	8210.471762
871	8202.448414
872	8195.516705
873	8184.330338
874	8183.746695
875	8176.094121
876	8169.945795
877	8165.319178
878	8162.239406
879	8156.57051
880	8151.98967
881	8147.801041
882	8142.77713
883	8134.120613
884	8128.148101
885	8127.789304
886	8119.970563
887	8105.953927
888	8095.571956
889	8085.921479
890	8077.677632
891	8067.435771
892	8060.149861
893	8052.223645
894	8045.532232
895	8037.24074
896	8023.333948
897	8010.208576
898	8003.55175
899	7996.98255
900	7996.685731
901	7989.949123
902	7976.517931
903	7972.525593
904	7963.25885
905	7955.298747
906	7953.947089
907	7953.112217
908	7940.402134
909	7928.912781
910	7917.067246
911	7909.222837
912	7896.4331
913	7896.193241
914	7890.552819
915	7884.941057
916	7881.352325
917	7874.182761
918	7870.01488
919	7858.280176
920	7855.380719
921	7847.319915
922	7837.096175
923	7831.239327
924	7827.281127
925	7822.257979
926	7815.719465
927	7805.760622
928	7791.178929
929	7780.304116
930	7770.698914
931	7759.186728
932	7753.647007
933	7740.563777
934	7739.979156
935	7730.44437
936	7721.05103
937	7705.582407
938	7691.114697
939	7679.373756
940	7673.700628
941	7668.914193
942	7658.34718
943	7652.214769
944	7644.482926
945	7637.649354
946	7637.282856
947	7626.901874
948	7618.032441
949	7609.883003
950	7597.125622
951	7591.62072
952	7584.091362
953	7578.108722
954	7570.164285
955	7561.508528
956	7556.473696
957	7550.341564
958	7544.166625
959	7538.369106
960	7531.593572
961	7523.107638
962	7506.490002
963	7502.307169
964	7498.554382
965	7491.678149
966	7483.699795
967	7471.558921
968	7471.28483
969	7461.94394
970	7452.268664
971	7442.762419
972	7431.992864
973	7422.300589
974	7421.928478
975	7421.761423
976	7421.326361
977	7421.056007
978	7419.297099
979	7409.133183
980	7404.996154
981	7391.271046
982	7386.38824
983	7385.295925
984	7380.909021
985	7378.379682
986	7370.931977
987	7362.960545
988	7358.5424
989	7348.436084
990	7344.579631
991	7338.20343
992	7331.240736
993	7328.503115
994	7328.251296
995	7322.372269
996	7311.358733
997	7306.400435
998	7295.728356
999	7283.26932
